FeatureCode,DateCode,Measurement,Units,Value,IndicesOfDeprivation
E01013604,2015,Score,NA,51.311,Index of Multiple Deprivation (IMD)
E01013613,2015,Score,NA,31.063,Index of Multiple Deprivation (IMD)
E01013749,2015,Score,NA,26.479,Index of Multiple Deprivation (IMD)
E01013756,2015,Score,NA,25.427,Index of Multiple Deprivation (IMD)
E01013727,2015,Score,NA,53.173,Index of Multiple Deprivation (IMD)
E01013735,2015,Score,NA,18.42,Index of Multiple Deprivation (IMD)
E01013733,2015,Score,NA,22.143,Index of Multiple Deprivation (IMD)
E01013773,2015,Score,NA,28.723,Index of Multiple Deprivation (IMD)
E01013765,2015,Score,NA,31.75,Index of Multiple Deprivation (IMD)
E01013636,2015,Score,NA,14.157,Index of Multiple Deprivation (IMD)
E01013626,2015,Score,NA,31.468,Index of Multiple Deprivation (IMD)
E01013758,2015,Score,NA,24.694,Index of Multiple Deprivation (IMD)
E01013752,2015,Score,NA,32.894,Index of Multiple Deprivation (IMD)
E01032868,2015,Score,NA,30.28,Index of Multiple Deprivation (IMD)
E01013671,2015,Score,NA,19.941,Index of Multiple Deprivation (IMD)
E01013629,2015,Score,NA,30.429,Index of Multiple Deprivation (IMD)
E01013681,2015,Score,NA,38.024,Index of Multiple Deprivation (IMD)
E01013663,2015,Score,NA,26.115,Index of Multiple Deprivation (IMD)
E01013658,2015,Score,NA,34.12,Index of Multiple Deprivation (IMD)
E01013675,2015,Score,NA,45.12,Index of Multiple Deprivation (IMD)
E01013639,2015,Score,NA,39.894,Index of Multiple Deprivation (IMD)
E01013656,2015,Score,NA,31.347,Index of Multiple Deprivation (IMD)
E01013649,2015,Score,NA,19.665,Index of Multiple Deprivation (IMD)
E01013680,2015,Score,NA,17.536,Index of Multiple Deprivation (IMD)
E01013677,2015,Score,NA,47.547,Index of Multiple Deprivation (IMD)
E01013687,2015,Score,NA,35.332,Index of Multiple Deprivation (IMD)
E01013728,2015,Score,NA,53.384,Index of Multiple Deprivation (IMD)
E01013713,2015,Score,NA,26.841,Index of Multiple Deprivation (IMD)
E01013711,2015,Score,NA,25.051,Index of Multiple Deprivation (IMD)
E01013722,2015,Score,NA,50.686,Index of Multiple Deprivation (IMD)
E01013745,2015,Score,NA,30.157,Index of Multiple Deprivation (IMD)
E01013695,2015,Score,NA,40.681,Index of Multiple Deprivation (IMD)
E01013710,2015,Score,NA,16.158,Index of Multiple Deprivation (IMD)
E01013706,2015,Score,NA,6.102,Index of Multiple Deprivation (IMD)
E01013643,2015,Score,NA,7.871,"Education, Skills and Training Domain"
E01013642,2015,Score,NA,5.264,"Education, Skills and Training Domain"
E01013651,2015,Score,NA,60.583,"Education, Skills and Training Domain"
E01013650,2015,Score,NA,4.833,"Education, Skills and Training Domain"
E01013607,2015,Score,NA,11.48,"Education, Skills and Training Domain"
E01013622,2015,Score,NA,49.864,"Education, Skills and Training Domain"
E01013614,2015,Score,NA,27.766,"Education, Skills and Training Domain"
E01013632,2015,Score,NA,87.303,"Education, Skills and Training Domain"
E01013623,2015,Score,NA,22.106,"Education, Skills and Training Domain"
E01013633,2015,Score,NA,73.979,"Education, Skills and Training Domain"
E01013664,2015,Score,NA,61.318,"Education, Skills and Training Domain"
E01013688,2015,Score,NA,36.121,"Education, Skills and Training Domain"
E01013678,2015,Score,NA,51.143,"Education, Skills and Training Domain"
E01013756,2015,Score,NA,30.979,"Education, Skills and Training Domain"
E01013721,2015,Score,NA,35.404,"Education, Skills and Training Domain"
E01013718,2015,Score,NA,39.745,"Education, Skills and Training Domain"
E01013737,2015,Score,NA,22.672,"Education, Skills and Training Domain"
E01013729,2015,Score,NA,29.359,"Education, Skills and Training Domain"
E01013714,2015,Score,NA,35.512,"Education, Skills and Training Domain"
E01013766,2015,Score,NA,18.562,"Education, Skills and Training Domain"
E01013763,2015,Score,NA,25.159,"Education, Skills and Training Domain"
E01013777,2015,Score,NA,26.593,"Education, Skills and Training Domain"
E01013779,2015,Score,NA,27.759,"Education, Skills and Training Domain"
E01013627,2015,Score,NA,25.842,"Education, Skills and Training Domain"
E01013775,2015,Score,NA,33.09,"Education, Skills and Training Domain"
E01013761,2015,Score,NA,55.797,"Education, Skills and Training Domain"
E01013771,2015,Score,NA,16.92,"Education, Skills and Training Domain"
E01013647,2015,Score,NA,40.083,"Education, Skills and Training Domain"
E01013638,2015,Score,NA,97.965,"Education, Skills and Training Domain"
E01013637,2015,Score,NA,74.869,"Education, Skills and Training Domain"
E01013739,2015,Score,NA,31.216,"Education, Skills and Training Domain"
E01013716,2015,Score,NA,42.33,"Education, Skills and Training Domain"
E01013723,2015,Score,NA,64.194,"Education, Skills and Training Domain"
E01013773,2015,Score,NA,41.842,"Education, Skills and Training Domain"
E01013758,2015,Score,NA,38.33,"Education, Skills and Training Domain"
E01013765,2015,Score,NA,37.612,"Education, Skills and Training Domain"
E01013757,2015,Score,NA,19.211,"Education, Skills and Training Domain"
E01013731,2015,Score,NA,43.571,"Education, Skills and Training Domain"
E01013686,2015,Score,NA,15.192,"Education, Skills and Training Domain"
E01013690,2015,Score,NA,34.557,"Education, Skills and Training Domain"
E01013670,2015,Score,NA,11.497,"Education, Skills and Training Domain"
E01013704,2015,Score,NA,0.689,"Education, Skills and Training Domain"
E01032863,2015,Score,NA,8.987,"Education, Skills and Training Domain"
E01032862,2015,Score,NA,20.624,"Education, Skills and Training Domain"
E01032875,2015,Score,NA,42.635,"Education, Skills and Training Domain"
E01032597,2015,Score,NA,53.504,"Education, Skills and Training Domain"
E01032868,2015,Score,NA,41.372,"Education, Skills and Training Domain"
E01032602,2015,Score,NA,72.706,"Education, Skills and Training Domain"
E01032599,2015,Score,NA,8.334,"Education, Skills and Training Domain"
E01032865,2015,Score,NA,13.028,"Education, Skills and Training Domain"
E01032872,2015,Score,NA,40.68,"Education, Skills and Training Domain"
E01032867,2015,Score,NA,33.832,"Education, Skills and Training Domain"
E01032873,2015,Score,NA,12.728,"Education, Skills and Training Domain"
E01013783,2015,Score,NA,5.569,"Education, Skills and Training Domain"
E01013786,2015,Score,NA,15.089,"Education, Skills and Training Domain"
E01013774,2015,Score,NA,26.088,"Education, Skills and Training Domain"
E01013785,2015,Score,NA,3.487,"Education, Skills and Training Domain"
E01013600,2015,Score,NA,72.372,"Education, Skills and Training Domain"
E01013685,2015,Score,NA,22.883,"Education, Skills and Training Domain"
E01013691,2015,Score,NA,85.051,"Education, Skills and Training Domain"
E01013673,2015,Score,NA,72.591,"Education, Skills and Training Domain"
E01013770,2015,Score,NA,21.299,"Education, Skills and Training Domain"
E01013748,2015,Score,NA,55.041,"Education, Skills and Training Domain"
E01013760,2015,Score,NA,50.149,"Education, Skills and Training Domain"
E01013754,2015,Score,NA,55.71,"Education, Skills and Training Domain"
E01013715,2015,Score,NA,44.828,"Education, Skills and Training Domain"
E01013712,2015,Score,NA,2.299,"Education, Skills and Training Domain"
E01013730,2015,Score,NA,75.911,"Education, Skills and Training Domain"
E01013726,2015,Score,NA,66.302,"Education, Skills and Training Domain"
E01013759,2015,Score,NA,17.599,"Education, Skills and Training Domain"
E01013750,2015,Score,NA,35.997,"Education, Skills and Training Domain"
E01013751,2015,Score,NA,49.035,"Education, Skills and Training Domain"
E01013621,2015,Score,NA,51.425,"Education, Skills and Training Domain"
E01013631,2015,Score,NA,59.488,"Education, Skills and Training Domain"
E01013630,2015,Score,NA,36.822,"Education, Skills and Training Domain"
E01013705,2015,Score,NA,9.461,"Education, Skills and Training Domain"
E01013702,2015,Score,NA,2.064,"Education, Skills and Training Domain"
E01013717,2015,Score,NA,27.541,"Education, Skills and Training Domain"
E01013641,2015,Score,NA,50.99,"Education, Skills and Training Domain"
E01013665,2015,Score,NA,34.416,"Education, Skills and Training Domain"
E01013666,2015,Score,NA,10.988,"Education, Skills and Training Domain"
E01013689,2015,Score,NA,19.12,"Education, Skills and Training Domain"
E01013612,2015,Score,NA,14.168,"Education, Skills and Training Domain"
E01013620,2015,Score,NA,69.37,"Education, Skills and Training Domain"
E01013697,2015,Score,NA,12.449,"Education, Skills and Training Domain"
E01013743,2015,Score,NA,61.996,"Education, Skills and Training Domain"
E01013742,2015,Score,NA,53.233,"Education, Skills and Training Domain"
E01013653,2015,Score,NA,65.362,"Education, Skills and Training Domain"
E01013746,2015,Score,NA,54.357,"Education, Skills and Training Domain"
E01013734,2015,Score,NA,19.191,"Education, Skills and Training Domain"
E01013652,2015,Score,NA,71.345,"Education, Skills and Training Domain"
E01013640,2015,Score,NA,80.569,"Education, Skills and Training Domain"
E01013782,2015,Score,NA,13.911,"Education, Skills and Training Domain"
E01013608,2015,Score,NA,25.323,"Education, Skills and Training Domain"
E01013609,2015,Score,NA,15.852,"Education, Skills and Training Domain"
E01013745,2015,Score,NA,44.258,"Education, Skills and Training Domain"
E01013725,2015,Score,NA,83.726,"Education, Skills and Training Domain"
E01013740,2015,Score,NA,23.244,"Education, Skills and Training Domain"
E01013762,2015,Score,NA,36.177,"Education, Skills and Training Domain"
E01013713,2015,Score,NA,39.099,"Education, Skills and Training Domain"
E01013728,2015,Score,NA,65.095,"Education, Skills and Training Domain"
E01013722,2015,Score,NA,65.246,"Education, Skills and Training Domain"
E01013744,2015,Score,NA,52.202,"Education, Skills and Training Domain"
E01013615,2015,Score,NA,10.008,"Education, Skills and Training Domain"
E01013696,2015,Score,NA,22.126,"Education, Skills and Training Domain"
E01013655,2015,Score,NA,60.176,"Education, Skills and Training Domain"
E01013660,2015,Score,NA,35.21,"Education, Skills and Training Domain"
E01013654,2015,Score,NA,51.98,"Education, Skills and Training Domain"
E01013700,2015,Score,NA,20.564,"Education, Skills and Training Domain"
E01013676,2015,Score,NA,62.275,"Education, Skills and Training Domain"
E01013703,2015,Score,NA,1.02,"Education, Skills and Training Domain"
E01013767,2015,Score,NA,29.489,"Education, Skills and Training Domain"
E01013732,2015,Score,NA,37.16,"Education, Skills and Training Domain"
E01013738,2015,Score,NA,20.18,"Education, Skills and Training Domain"
E01013778,2015,Score,NA,36.257,"Education, Skills and Training Domain"
E01013772,2015,Score,NA,58.278,"Education, Skills and Training Domain"
E01013780,2015,Score,NA,5.468,"Education, Skills and Training Domain"
E01013768,2015,Score,NA,43.332,"Education, Skills and Training Domain"
E01013784,2015,Score,NA,3.126,"Education, Skills and Training Domain"
E01013610,2015,Score,NA,34.687,"Education, Skills and Training Domain"
E01013687,2015,Score,NA,26.514,"Education, Skills and Training Domain"
E01013681,2015,Score,NA,35.612,"Education, Skills and Training Domain"
E01013711,2015,Score,NA,2.486,"Education, Skills and Training Domain"
E01013675,2015,Score,NA,78.627,"Education, Skills and Training Domain"
E01013671,2015,Score,NA,19.651,"Education, Skills and Training Domain"
E01013663,2015,Score,NA,41.199,"Education, Skills and Training Domain"
E01013710,2015,Score,NA,2.926,"Education, Skills and Training Domain"
E01013695,2015,Score,NA,60.104,"Education, Skills and Training Domain"
E01013658,2015,Score,NA,63.817,"Education, Skills and Training Domain"
E01013706,2015,Score,NA,1.313,"Education, Skills and Training Domain"
E01013680,2015,Score,NA,18.089,"Education, Skills and Training Domain"
E01013677,2015,Score,NA,62.531,"Education, Skills and Training Domain"
E01013656,2015,Score,NA,64.95,"Education, Skills and Training Domain"
E01013629,2015,Score,NA,34.975,"Education, Skills and Training Domain"
E01013616,2015,Score,NA,35.483,"Education, Skills and Training Domain"
E01013649,2015,Score,NA,2.195,"Education, Skills and Training Domain"
E01013604,2015,Score,NA,65.559,"Education, Skills and Training Domain"
E01013613,2015,Score,NA,37.423,"Education, Skills and Training Domain"
E01013735,2015,Score,NA,17.173,"Education, Skills and Training Domain"
E01013709,2015,Score,NA,16.692,"Education, Skills and Training Domain"
E01013648,2015,Score,NA,19.252,"Education, Skills and Training Domain"
E01013720,2015,Score,NA,47.246,"Education, Skills and Training Domain"
E01013733,2015,Score,NA,37.766,"Education, Skills and Training Domain"
E01013727,2015,Score,NA,69.18,"Education, Skills and Training Domain"
E01013749,2015,Score,NA,34.961,"Education, Skills and Training Domain"
E01013752,2015,Score,NA,50.505,"Education, Skills and Training Domain"
E01013682,2015,Score,NA,34.716,"Education, Skills and Training Domain"
E01013674,2015,Score,NA,76.574,"Education, Skills and Training Domain"
E01013636,2015,Score,NA,9.979,"Education, Skills and Training Domain"
E01013605,2015,Score,NA,38.541,"Education, Skills and Training Domain"
E01013626,2015,Score,NA,43.333,"Education, Skills and Training Domain"
E01013628,2015,Score,NA,42.539,"Education, Skills and Training Domain"
E01013646,2015,Score,NA,26.54,"Education, Skills and Training Domain"
E01013639,2015,Score,NA,56.871,"Education, Skills and Training Domain"
E01013659,2015,Score,NA,58.282,"Education, Skills and Training Domain"
E01013694,2015,Score,NA,37.757,"Education, Skills and Training Domain"
E01013657,2015,Score,NA,44.76,"Education, Skills and Training Domain"
E01013693,2015,Score,NA,85.277,"Education, Skills and Training Domain"
E01013625,2015,Score,NA,38.031,"Education, Skills and Training Domain"
E01013618,2015,Score,NA,26.022,"Education, Skills and Training Domain"
E01013707,2015,Score,NA,1.388,"Education, Skills and Training Domain"
E01013684,2015,Score,NA,60.166,"Education, Skills and Training Domain"
E01013692,2015,Score,NA,89.721,"Education, Skills and Training Domain"
E01013669,2015,Score,NA,13.397,"Education, Skills and Training Domain"
E01013668,2015,Score,NA,14.722,"Education, Skills and Training Domain"
E01013672,2015,Score,NA,17.557,"Education, Skills and Training Domain"
E01013619,2015,Score,NA,55.369,"Education, Skills and Training Domain"
E01013634,2015,Score,NA,57.986,"Education, Skills and Training Domain"
E01013624,2015,Score,NA,53.008,"Education, Skills and Training Domain"
E01013683,2015,Score,NA,30.476,"Education, Skills and Training Domain"
E01013719,2015,Score,NA,42.648,"Education, Skills and Training Domain"
E01013741,2015,Score,NA,31.751,"Education, Skills and Training Domain"
E01013736,2015,Score,NA,27.754,"Education, Skills and Training Domain"
E01013679,2015,Score,NA,81.024,"Education, Skills and Training Domain"
E01013667,2015,Score,NA,30.579,"Education, Skills and Training Domain"
E01013698,2015,Score,NA,34.913,"Education, Skills and Training Domain"
E01013753,2015,Score,NA,52.268,"Education, Skills and Training Domain"
E01013699,2015,Score,NA,15.265,"Education, Skills and Training Domain"
E01013747,2015,Score,NA,41.779,"Education, Skills and Training Domain"
E01013661,2015,Score,NA,46.488,"Education, Skills and Training Domain"
E01013635,2015,Score,NA,19.56,"Education, Skills and Training Domain"
E01013606,2015,Score,NA,24.309,"Education, Skills and Training Domain"
E01013617,2015,Score,NA,21.872,"Education, Skills and Training Domain"
E01013611,2015,Score,NA,34.692,"Education, Skills and Training Domain"
E01013662,2015,Score,NA,43.935,"Education, Skills and Training Domain"
E01013764,2015,Score,NA,23.037,"Education, Skills and Training Domain"
E01013776,2015,Score,NA,31.782,"Education, Skills and Training Domain"
E01013755,2015,Score,NA,57.047,"Education, Skills and Training Domain"
E01013781,2015,Score,NA,36.926,"Education, Skills and Training Domain"
E01013770,2015,Score,NA,20.057,Index of Multiple Deprivation (IMD)
E01013754,2015,Score,NA,57.587,Index of Multiple Deprivation (IMD)
E01013760,2015,Score,NA,48.289,Index of Multiple Deprivation (IMD)
E01013625,2015,Score,NA,34.973,Index of Multiple Deprivation (IMD)
E01013600,2015,Score,NA,53.605,Index of Multiple Deprivation (IMD)
E01013673,2015,Score,NA,48.264,Index of Multiple Deprivation (IMD)
E01013748,2015,Score,NA,51.1,Index of Multiple Deprivation (IMD)
E01013672,2015,Score,NA,16.189,Index of Multiple Deprivation (IMD)
E01013668,2015,Score,NA,19.582,Index of Multiple Deprivation (IMD)
E01013618,2015,Score,NA,26.522,Index of Multiple Deprivation (IMD)
E01013619,2015,Score,NA,54.73,Index of Multiple Deprivation (IMD)
E01013712,2015,Score,NA,8.737,Index of Multiple Deprivation (IMD)
E01013657,2015,Score,NA,37.373,Index of Multiple Deprivation (IMD)
E01013693,2015,Score,NA,67.325,Index of Multiple Deprivation (IMD)
E01013692,2015,Score,NA,67.061,Index of Multiple Deprivation (IMD)
E01013707,2015,Score,NA,8.105,Index of Multiple Deprivation (IMD)
E01013684,2015,Score,NA,49.507,Index of Multiple Deprivation (IMD)
E01013691,2015,Score,NA,72.828,Index of Multiple Deprivation (IMD)
E01013685,2015,Score,NA,12.701,Index of Multiple Deprivation (IMD)
E01013669,2015,Score,NA,11.201,Index of Multiple Deprivation (IMD)
E01013715,2015,Score,NA,27.763,Index of Multiple Deprivation (IMD)
E01013730,2015,Score,NA,62.387,Index of Multiple Deprivation (IMD)
E01013726,2015,Score,NA,72.746,Index of Multiple Deprivation (IMD)
E01013759,2015,Score,NA,14.946,Index of Multiple Deprivation (IMD)
E01013782,2015,Score,NA,21.628,Index of Multiple Deprivation (IMD)
E01013774,2015,Score,NA,34.044,Index of Multiple Deprivation (IMD)
E01013746,2015,Score,NA,49.191,Index of Multiple Deprivation (IMD)
E01013620,2015,Score,NA,61.975,Index of Multiple Deprivation (IMD)
E01013612,2015,Score,NA,18.94,Index of Multiple Deprivation (IMD)
E01013621,2015,Score,NA,58.307,Index of Multiple Deprivation (IMD)
E01013731,2015,Score,NA,33.616,Index of Multiple Deprivation (IMD)
E01013757,2015,Score,NA,16.197,Index of Multiple Deprivation (IMD)
E01013739,2015,Score,NA,36.19,Index of Multiple Deprivation (IMD)
E01013704,2015,Score,NA,9.691,Index of Multiple Deprivation (IMD)
E01013690,2015,Score,NA,34.173,Index of Multiple Deprivation (IMD)
E01013723,2015,Score,NA,45.341,Index of Multiple Deprivation (IMD)
E01013716,2015,Score,NA,39.329,Index of Multiple Deprivation (IMD)
E01013743,2015,Score,NA,33.554,Index of Multiple Deprivation (IMD)
E01013751,2015,Score,NA,30.296,Index of Multiple Deprivation (IMD)
E01013750,2015,Score,NA,26.258,Index of Multiple Deprivation (IMD)
E01013766,2015,Score,NA,19.279,Index of Multiple Deprivation (IMD)
E01013688,2015,Score,NA,38.524,Index of Multiple Deprivation (IMD)
E01013721,2015,Score,NA,35.377,Index of Multiple Deprivation (IMD)
E01013714,2015,Score,NA,23.803,Index of Multiple Deprivation (IMD)
E01013718,2015,Score,NA,30.514,Index of Multiple Deprivation (IMD)
E01013777,2015,Score,NA,33.674,Index of Multiple Deprivation (IMD)
E01013763,2015,Score,NA,33.534,Index of Multiple Deprivation (IMD)
E01013729,2015,Score,NA,21.358,Index of Multiple Deprivation (IMD)
E01013678,2015,Score,NA,35.394,Index of Multiple Deprivation (IMD)
E01013737,2015,Score,NA,17.11,Index of Multiple Deprivation (IMD)
E01013622,2015,Score,NA,53.027,Index of Multiple Deprivation (IMD)
E01013614,2015,Score,NA,24.111,Index of Multiple Deprivation (IMD)
E01013643,2015,Score,NA,10.979,Index of Multiple Deprivation (IMD)
E01013664,2015,Score,NA,47.028,Index of Multiple Deprivation (IMD)
E01013651,2015,Score,NA,46.251,Index of Multiple Deprivation (IMD)
E01013632,2015,Score,NA,73.145,Index of Multiple Deprivation (IMD)
E01013607,2015,Score,NA,25.598,Index of Multiple Deprivation (IMD)
E01013650,2015,Score,NA,8.641,Index of Multiple Deprivation (IMD)
E01013647,2015,Score,NA,35.13,Index of Multiple Deprivation (IMD)
E01013638,2015,Score,NA,72.051,Index of Multiple Deprivation (IMD)
E01013686,2015,Score,NA,13.205,Index of Multiple Deprivation (IMD)
E01013670,2015,Score,NA,15.723,Index of Multiple Deprivation (IMD)
E01013771,2015,Score,NA,14.825,Index of Multiple Deprivation (IMD)
E01013761,2015,Score,NA,44.784,Index of Multiple Deprivation (IMD)
E01013779,2015,Score,NA,33.466,Index of Multiple Deprivation (IMD)
E01013775,2015,Score,NA,27.903,Index of Multiple Deprivation (IMD)
E01013603,2015,Score,NA,68.046,Index of Multiple Deprivation (IMD)
E01013602,2015,Score,NA,46.792,Index of Multiple Deprivation (IMD)
E01013637,2015,Score,NA,52.458,Index of Multiple Deprivation (IMD)
E01013627,2015,Score,NA,19.2,Index of Multiple Deprivation (IMD)
E01013717,2015,Score,NA,29.517,Index of Multiple Deprivation (IMD)
E01013705,2015,Score,NA,24.068,Index of Multiple Deprivation (IMD)
E01013742,2015,Score,NA,34.999,Index of Multiple Deprivation (IMD)
E01013734,2015,Score,NA,23.018,Index of Multiple Deprivation (IMD)
E01013785,2015,Score,NA,16.459,Index of Multiple Deprivation (IMD)
E01013783,2015,Score,NA,12.966,Index of Multiple Deprivation (IMD)
E01013786,2015,Score,NA,27.84,Index of Multiple Deprivation (IMD)
E01032863,2015,Score,NA,15.667,Index of Multiple Deprivation (IMD)
E01013630,2015,Score,NA,30.029,Index of Multiple Deprivation (IMD)
E01013641,2015,Score,NA,30.179,Index of Multiple Deprivation (IMD)
E01013640,2015,Score,NA,66.525,Index of Multiple Deprivation (IMD)
E01013689,2015,Score,NA,21.041,Index of Multiple Deprivation (IMD)
E01013666,2015,Score,NA,11.295,Index of Multiple Deprivation (IMD)
E01013702,2015,Score,NA,8.386,Index of Multiple Deprivation (IMD)
E01013697,2015,Score,NA,28.318,Index of Multiple Deprivation (IMD)
E01013652,2015,Score,NA,51.32,Index of Multiple Deprivation (IMD)
E01013665,2015,Score,NA,26.958,Index of Multiple Deprivation (IMD)
E01013653,2015,Score,NA,54.662,Index of Multiple Deprivation (IMD)
E01013631,2015,Score,NA,42.488,Index of Multiple Deprivation (IMD)
E01013623,2015,Score,NA,23.435,Index of Multiple Deprivation (IMD)
E01013642,2015,Score,NA,15.705,Index of Multiple Deprivation (IMD)
E01013633,2015,Score,NA,55.369,Index of Multiple Deprivation (IMD)
E01032873,2015,Score,NA,38.559,Index of Multiple Deprivation (IMD)
E01032597,2015,Score,NA,46.833,Index of Multiple Deprivation (IMD)
E01013601,2015,Score,NA,51.581,Index of Multiple Deprivation (IMD)
E01013654,2015,Score,NA,40.504,Index of Multiple Deprivation (IMD)
E01013700,2015,Score,NA,18.737,Index of Multiple Deprivation (IMD)
E01013696,2015,Score,NA,24.984,Index of Multiple Deprivation (IMD)
E01013615,2015,Score,NA,11.325,Index of Multiple Deprivation (IMD)
E01013610,2015,Score,NA,34.908,Index of Multiple Deprivation (IMD)
E01013655,2015,Score,NA,34.885,Index of Multiple Deprivation (IMD)
E01013608,2015,Score,NA,20.021,Index of Multiple Deprivation (IMD)
E01013676,2015,Score,NA,42.138,Index of Multiple Deprivation (IMD)
E01013660,2015,Score,NA,30.541,Index of Multiple Deprivation (IMD)
E01013772,2015,Score,NA,34.771,Index of Multiple Deprivation (IMD)
E01013768,2015,Score,NA,35.825,Index of Multiple Deprivation (IMD)
E01013767,2015,Score,NA,21.365,Index of Multiple Deprivation (IMD)
E01013609,2015,Score,NA,16.23,Index of Multiple Deprivation (IMD)
E01013778,2015,Score,NA,31.634,Index of Multiple Deprivation (IMD)
E01013732,2015,Score,NA,27.14,Index of Multiple Deprivation (IMD)
E01013740,2015,Score,NA,24.443,Index of Multiple Deprivation (IMD)
E01013762,2015,Score,NA,33.279,Index of Multiple Deprivation (IMD)
E01013703,2015,Score,NA,5.818,Index of Multiple Deprivation (IMD)
E01013744,2015,Score,NA,29.918,Index of Multiple Deprivation (IMD)
E01013780,2015,Score,NA,13.169,Index of Multiple Deprivation (IMD)
E01013738,2015,Score,NA,17.995,Index of Multiple Deprivation (IMD)
E01013725,2015,Score,NA,69.526,Index of Multiple Deprivation (IMD)
E01013784,2015,Score,NA,20.054,Index of Multiple Deprivation (IMD)
E01032602,2015,Score,NA,47.696,Index of Multiple Deprivation (IMD)
E01032875,2015,Score,NA,26.424,Index of Multiple Deprivation (IMD)
E01032599,2015,Score,NA,10.895,Index of Multiple Deprivation (IMD)
E01032862,2015,Score,NA,22.031,Index of Multiple Deprivation (IMD)
E01032865,2015,Score,NA,10.699,Index of Multiple Deprivation (IMD)
E01032872,2015,Score,NA,0.888,Health Deprivation and Disability Domain
E01032865,2015,Score,NA,-0.538,Health Deprivation and Disability Domain
E01032873,2015,Score,NA,1.152,Health Deprivation and Disability Domain
E01032872,2015,Score,NA,34.042,Index of Multiple Deprivation (IMD)
E01032867,2015,Score,NA,34.65,Index of Multiple Deprivation (IMD)
E01013741,2015,Score,NA,22.675,Index of Multiple Deprivation (IMD)
E01013755,2015,Score,NA,51.367,Index of Multiple Deprivation (IMD)
E01013781,2015,Score,NA,44.514,Index of Multiple Deprivation (IMD)
E01013764,2015,Score,NA,17.538,Index of Multiple Deprivation (IMD)
E01013736,2015,Score,NA,19.513,Index of Multiple Deprivation (IMD)
E01013776,2015,Score,NA,36.291,Index of Multiple Deprivation (IMD)
E01013747,2015,Score,NA,25.541,Index of Multiple Deprivation (IMD)
E01013606,2015,Score,NA,20.717,Index of Multiple Deprivation (IMD)
E01013624,2015,Score,NA,36.087,Index of Multiple Deprivation (IMD)
E01013661,2015,Score,NA,53.609,Index of Multiple Deprivation (IMD)
E01013634,2015,Score,NA,44.739,Index of Multiple Deprivation (IMD)
E01013698,2015,Score,NA,27.193,Index of Multiple Deprivation (IMD)
E01013635,2015,Score,NA,26.309,Index of Multiple Deprivation (IMD)
E01013611,2015,Score,NA,32.187,Index of Multiple Deprivation (IMD)
E01013683,2015,Score,NA,36.406,Index of Multiple Deprivation (IMD)
E01013719,2015,Score,NA,28.047,Index of Multiple Deprivation (IMD)
E01013753,2015,Score,NA,39.919,Index of Multiple Deprivation (IMD)
E01013699,2015,Score,NA,19.152,Index of Multiple Deprivation (IMD)
E01013667,2015,Score,NA,36.203,Index of Multiple Deprivation (IMD)
E01013662,2015,Score,NA,23.835,Index of Multiple Deprivation (IMD)
E01013679,2015,Score,NA,58.576,Index of Multiple Deprivation (IMD)
E01013617,2015,Score,NA,24.252,Index of Multiple Deprivation (IMD)
E01032868,2015,Score,NA,31.373,Barriers to Housing and Services Domain
E01032597,2015,Score,NA,18.783,Barriers to Housing and Services Domain
E01032873,2015,Score,NA,26.346,Barriers to Housing and Services Domain
E01032872,2015,Score,NA,26.061,Barriers to Housing and Services Domain
E01032865,2015,Score,NA,21.845,Barriers to Housing and Services Domain
E01013695,2015,Score,NA,18.601,Barriers to Housing and Services Domain
E01013706,2015,Score,NA,22.777,Barriers to Housing and Services Domain
E01013687,2015,Score,NA,14.978,Barriers to Housing and Services Domain
E01013604,2015,Score,NA,15.066,Barriers to Housing and Services Domain
E01013680,2015,Score,NA,11.342,Barriers to Housing and Services Domain
E01013681,2015,Score,NA,11.438,Barriers to Housing and Services Domain
E01013677,2015,Score,NA,23.558,Barriers to Housing and Services Domain
E01013658,2015,Score,NA,22.162,Barriers to Housing and Services Domain
E01013663,2015,Score,NA,15.461,Barriers to Housing and Services Domain
E01013656,2015,Score,NA,20.145,Barriers to Housing and Services Domain
E01013671,2015,Score,NA,14.472,Barriers to Housing and Services Domain
E01013629,2015,Score,NA,14.455,Barriers to Housing and Services Domain
E01013616,2015,Score,NA,13.698,Barriers to Housing and Services Domain
E01013613,2015,Score,NA,9.215,Barriers to Housing and Services Domain
E01013675,2015,Score,NA,19.824,Barriers to Housing and Services Domain
E01013649,2015,Score,NA,14.324,Barriers to Housing and Services Domain
E01013639,2015,Score,NA,14.831,Barriers to Housing and Services Domain
E01013610,2015,Score,NA,9.49,Barriers to Housing and Services Domain
E01013608,2015,Score,NA,5.836,Barriers to Housing and Services Domain
E01013609,2015,Score,NA,6.071,Barriers to Housing and Services Domain
E01013767,2015,Score,NA,17.116,Living Environment Deprivation Domain
E01013615,2015,Score,NA,11.19,Living Environment Deprivation Domain
E01013654,2015,Score,NA,40.321,Living Environment Deprivation Domain
E01013660,2015,Score,NA,34.572,Living Environment Deprivation Domain
E01013676,2015,Score,NA,16.081,Living Environment Deprivation Domain
E01013655,2015,Score,NA,36.522,Living Environment Deprivation Domain
E01013762,2015,Score,NA,32.516,Living Environment Deprivation Domain
E01013772,2015,Score,NA,28.86,Living Environment Deprivation Domain
