VariableCode,VariableTable,VariableMeasurementUnit,VariableStatisticalUnit,VariableSubDomain,VariableDomain,VariableDescription,VariableTitle,EW_Code,SC_Code,NI_Code
u134,Economic Activity,Count,Person_16_to_74,Population Employment,Employment,Unemployed: Age 50 to 74,Unemployed_Age_50_to_74,KS601EW0013,KS601SC0013,KS601NI0014
u135,Economic Activity,Count,Person_16_to_74,Population Employment,Employment,Unemployed: Never worked,Unemployed_Never_worked,KS601EW0014,KS601SC0014,KS601NI0015
u136,Economic Activity,Count,Person_16_to_74,Population Employment,Employment,Long-term unemployed,Longterm_unemployed,KS601EW0015,KS601SC0015,KS601NI0016
u137,Hours Worked,Count,Employment_16_to_74,Employment Hours,Employment,Part-time: 15 hours or less worked,Parttime_15_hours_or_less_worked,KS604EW0002,KS604SCa0002,KS604NI0002
u138,Hours Worked,Count,Employment_16_to_74,Employment Hours,Employment,Part-time: 16 to 30 hours worked,Parttime_16_to_30_hours_worked,KS604EW0003,KS604SCa0003,KS604NI0003
u139,Hours Worked,Count,Employment_16_to_74,Employment Hours,Employment,Full-time: 31 to 48 hours worked,Fulltime_31_to_48_hours_worked,KS604EW0004,KS604SCa0004,KS604NI0004
u140,Hours Worked,Count,Employment_16_to_74,Employment Hours,Employment,Full-time: 49 or more hours worked,Fulltime_49_or_more_hours_worked,KS604EW0005,KS604SCa0005,KS604NI0005
u141,Industry,Count,Employment_16_to_74,Industry Sector,Employment,"Agriculture, forestry and fishing",Agriculture_forestry_and_fishing,KS605EW0002,KS605SC0002,KS605NI0002
u142,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Mining and quarrying,Mining_and_quarrying,KS605EW0003,KS605SC0003,KS605NI0003
u143,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Manufacturing,Manufacturing,KS605EW0004,KS605SC0004,KS605NI0004
u144,Industry,Count,Employment_16_to_74,Industry Sector,Employment,"Electricity, gas, steam and air conditioning supply ",Electricity_gas_steam_and_air_conditioning_supply_,KS605EW0005,KS605SC0005,KS605NI0005
u145,Industry,Count,Employment_16_to_74,Industry Sector,Employment,"Water supply; sewerage, waste management and remediation activities",Water_supply_sewerage_waste_management_and_remediation_activities,KS605EW0006,KS605SC0006,KS605NI0006
u146,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Construction,Construction,KS605EW0007,KS605SC0007,KS605NI0007
u147,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Wholesale and retail trade; repair of motor vehicles and motor cycles,Wholesale_and_retail_trade_repair_of_motor_vehicles_and_motor_cycles,KS605EW0008,KS605SC0008,KS605NI0008
u148,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Transport and storage,Transport_and_storage,KS605EW0009,KS605SC0009,KS605NI0009
u149,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Accommodation and food service activities,Accommodation_and_food_service_activities,KS605EW0010,KS605SC0010,KS605NI0010
u150,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Information and communication,Information_and_communication,KS605EW0011,KS605SC0011,KS605NI0011
u151,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Financial and insurance activities,Financial_and_insurance_activities,KS605EW0012,KS605SC0012,KS605NI0012
u152,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Real estate activities,Real_estate_activities,KS605EW0013,KS605SC0013,KS605NI0013
u153,Industry,Count,Employment_16_to_74,Industry Sector,Employment,"Professional, scientific and technical activities",Professional_scientific_and_technical_activities,KS605EW0014,KS605SC0014,KS605NI0014
u154,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Administrative and support service activities,Administrative_and_support_service_activities,KS605EW0015,KS605SC0015,KS605NI0015
u155,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Public administration and defence; compulsory social security,Public_administration_and_defence_compulsory_social_security,KS605EW0016,KS605SC0016,KS605NI0016
u156,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Education,Education,KS605EW0017,KS605SC0017,KS605NI0017
u157,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Human health and social work activities,Human_health_and_social_work_activities,KS605EW0018,KS605SC0018,KS605NI0018
u158,Industry,Count,Employment_16_to_74,Industry Sector,Employment,Other industry,Other_industry,KS605EW0019,KS605SC0019,KS605NI0019
u159,Occupation,Count,Employment_16_to_74,Employment Type,Employment,"Managers, directors and senior officials",Managers_directors_and_senior_officials,KS608EW0002,KS608SC0002,KS608NI0002
u160,Occupation,Count,Employment_16_to_74,Employment Type,Employment,Professional occupations,Professional_occupations,KS608EW0003,KS608SC0003,KS608NI0003
u161,Occupation,Count,Employment_16_to_74,Employment Type,Employment,Associate professional and technical occupations,Associate_professional_and_technical_occupations,KS608EW0004,KS608SC0004,KS608NI0004
u162,Occupation,Count,Employment_16_to_74,Employment Type,Employment,Administrative and secretarial occupations,Administrative_and_secretarial_occupations,KS608EW0005,KS608SC0005,KS608NI0005
u163,Occupation,Count,Employment_16_to_74,Employment Type,Employment,Skilled trades occupations,Skilled_trades_occupations,KS608EW0006,KS608SC0006,KS608NI0006
u164,Occupation,Count,Employment_16_to_74,Employment Type,Employment,"Caring, leisure and other service occupations",Caring_leisure_and_other_service_occupations,KS608EW0007,KS608SC0007,KS608NI0007
u165,Occupation,Count,Employment_16_to_74,Employment Type,Employment,Sales and customer service occupations,Sales_and_customer_service_occupations,KS608EW0008,KS608SC0008,KS608NI0008
u166,Occupation,Count,Employment_16_to_74,Employment Type,Employment,"Process, plant and machine operatives",Process_plant_and_machine_operatives,KS608EW0009,KS608SC0009,KS608NI0009
u167,Occupation,Count,Employment_16_to_74,Employment Type,Employment,Elementary occupations,Elementary_occupations,KS608EW0010,KS608SC0010,KS608NI0010
